,model,pixels,image,true,predicted,success,cdiff,prior_probs,predicted_probs,perturbation
10,sequential,1,2896,8,5,True,0.09652358,"[8.92624855e-01 4.99331804e-07 1.49046855e-05 7.19282689e-05
 4.98914545e-08 9.00360849e-03 6.16863952e-04 8.06353546e-06
 9.65235829e-02 1.13569340e-03]",[[[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]]],[724.03190156  87.23482113 153.97278329 201.67507461]
11,sequential,1,2648,9,7,True,0.055251542,"[8.9378810e-01 2.1169120e-05 3.4960795e-03 9.1764319e-04 4.0542443e-07
 4.2164735e-02 3.0267931e-06 8.4251090e-04 3.5146764e-03 5.5251542e-02]","[[[2.5594383e-07 1.8537676e-01 2.9523480e-01 6.1133187e-03 1.3325511e-18
   2.9133466e-11 5.2253135e-09 5.1327485e-01 2.3737966e-20 3.1949921e-17]]]",[567.38384331  79.4843562   76.2221291  117.19690387]
12,sequential,1,9768,2,7,True,0.023158668,"[9.6760398e-01 1.0580884e-06 2.3158668e-02 3.1423251e-04 1.0523704e-06
 1.4376479e-03 1.4421284e-04 1.3017294e-04 6.2395381e-03 9.6939068e-04]","[[[0.0000000e+00 2.6732349e-12 3.0469291e-18 2.2241869e-25 7.4124167e-19
   2.6209207e-19 1.5514578e-35 1.0000000e+00 1.1928548e-38 2.8183953e-29]]]",[384.09242267 229.95725295  82.36542371 140.60117686]
13,sequential,1,9634,0,7,True,0.04953092,"[4.9530920e-02 6.6998446e-01 6.9455700e-03 5.1453087e-02 1.5870655e-06
 3.4442481e-05 6.8632668e-05 5.8168288e-02 1.6373087e-01 8.2187915e-05]","[[[0.0000000e+00 0.0000000e+00 0.0000000e+00 2.2151737e-36 0.0000000e+00
   0.0000000e+00 0.0000000e+00 1.0000000e+00 0.0000000e+00 0.0000000e+00]]]",[777.71235278 101.57292419 162.627607   129.53013293]
14,sequential,1,9768,2,7,True,0.023158668,"[9.6760398e-01 1.0580884e-06 2.3158668e-02 3.1423251e-04 1.0523704e-06
 1.4376479e-03 1.4421284e-04 1.3017294e-04 6.2395381e-03 9.6939068e-04]","[[[0.0000000e+00 0.0000000e+00 4.9961734e-30 0.0000000e+00 2.1162780e-09
   0.0000000e+00 0.0000000e+00 9.9999917e-01 0.0000000e+00 8.0479555e-07]]]",[409.91582653 234.93105525 222.74887436  26.34376943]
15,sequential,1,4814,6,1,True,0.2763974,"[5.8632886e-01 8.7111490e-03 1.0339478e-04 1.0100779e-03 3.7532739e-02
 2.1048696e-05 2.7639741e-01 3.9327819e-02 4.6470779e-04 5.0102793e-02]","[[[0.000000e+00 9.999999e-01 8.106779e-08 0.000000e+00 0.000000e+00
   0.000000e+00 0.000000e+00 5.606142e-35 0.000000e+00 0.000000e+00]]]",[395.59237564 175.44648151 213.75224417 210.16649653]
16,sequential,1,2098,2,7,True,0.1883446,"[8.1158644e-01 4.1969241e-07 1.8834460e-01 1.7998369e-05 2.1211379e-06
 2.1483084e-09 1.0839205e-05 7.8758221e-06 2.5316258e-05 4.3309938e-06]","[[[0.0000000e+00 0.0000000e+00 3.6914228e-36 3.0445836e-32 0.0000000e+00
   0.0000000e+00 0.0000000e+00 1.0000000e+00 0.0000000e+00 0.0000000e+00]]]",[762.37357507 141.96502021 192.45070781 133.47889618]
17,sequential,1,2293,9,6,True,0.009634299,"[6.0114592e-01 1.6747143e-09 3.0664592e-06 5.0782858e-09 5.5115446e-03
 1.6402956e-07 3.8368413e-01 3.3271610e-07 2.0513457e-05 9.6342992e-03]","[[[0.0000000e+00 0.0000000e+00 4.1065778e-33 0.0000000e+00 0.0000000e+00
   0.0000000e+00 9.9999011e-01 9.5072999e-33 9.9480167e-06 0.0000000e+00]]]",[105.82211001  95.98600854 144.46017535 216.11820044]
18,sequential,1,9634,0,7,True,0.04953092,"[4.9530920e-02 6.6998446e-01 6.9455700e-03 5.1453087e-02 1.5870655e-06
 3.4442481e-05 6.8632668e-05 5.8168288e-02 1.6373087e-01 8.2187915e-05]","[[[0.00000e+00 0.00000e+00 6.51959e-33 0.00000e+00 0.00000e+00
   0.00000e+00 0.00000e+00 1.00000e+00 0.00000e+00 0.00000e+00]]]",[234.87000275 237.0722805  207.19924203 158.94085018]
19,sequential,1,2648,9,1,True,0.055251542,"[8.9378810e-01 2.1169120e-05 3.4960795e-03 9.1764319e-04 4.0542443e-07
 4.2164735e-02 3.0267931e-06 8.4251090e-04 3.5146764e-03 5.5251542e-02]","[[[0.0000000e+00 9.9975616e-01 6.6866256e-21 3.7509954e-16 1.6928780e-12
   3.2062741e-27 4.7588582e-18 9.5508365e-14 2.4380146e-04 5.9308370e-18]]]",[434.93652591 222.74139896  24.63084771  13.10903183]
20,sequential,1,2073,5,4,True,0.219161,"[7.0036775e-01 9.3503459e-06 6.9682960e-06 8.3299754e-03 7.6298129e-06
 2.1916100e-01 7.0149206e-02 5.7331071e-04 9.4418891e-04 4.5056228e-04]","[[[1.8993201e-20 1.4596608e-08 4.7388151e-13 4.5701926e-35 1.0000000e+00
   9.1978840e-33 2.9980846e-36 5.1664535e-20 0.0000000e+00 5.3880047e-27]]]",[512.95462204 255.915832   108.08120076  73.30611139]
21,sequential,1,2098,2,7,True,0.1883446,"[8.1158644e-01 4.1969241e-07 1.8834460e-01 1.7998369e-05 2.1211379e-06
 2.1483084e-09 1.0839205e-05 7.8758221e-06 2.5316258e-05 4.3309938e-06]","[[[0.0000000e+00 0.0000000e+00 0.0000000e+00 1.2013195e-33 0.0000000e+00
   3.6721430e-19 3.2630519e-30 1.0000000e+00 0.0000000e+00 4.0299381e-34]]]",[289.43473401 102.97861552 189.8329075   71.76511579]
22,sequential,1,2293,9,3,True,0.009634299,"[6.0114592e-01 1.6747143e-09 3.0664592e-06 5.0782858e-09 5.5115446e-03
 1.6402956e-07 3.8368413e-01 3.3271610e-07 2.0513457e-05 9.6342992e-03]","[[[1.0001505e-34 0.0000000e+00 0.0000000e+00 1.0000000e+00 0.0000000e+00
   4.9305337e-38 2.3160710e-34 0.0000000e+00 4.8081616e-33 5.9054241e-30]]]",[115.80423365 182.44554126  56.03815526  52.37914875]
23,sequential,1,2073,5,3,True,0.219161,"[7.0036775e-01 9.3503459e-06 6.9682960e-06 8.3299754e-03 7.6298129e-06
 2.1916100e-01 7.0149206e-02 5.7331071e-04 9.4418891e-04 4.5056228e-04]","[[[0.0000000e+00 0.0000000e+00 0.0000000e+00 1.0000000e+00 0.0000000e+00
   0.0000000e+00 6.5127164e-37 0.0000000e+00 0.0000000e+00 0.0000000e+00]]]",[ 92.23466459 171.61237689  94.60360645 217.95807821]
24,sequential,1,9634,0,7,True,0.04953092,"[4.9530920e-02 6.6998446e-01 6.9455700e-03 5.1453087e-02 1.5870655e-06
 3.4442481e-05 6.8632668e-05 5.8168288e-02 1.6373087e-01 8.2187915e-05]","[[[6.2703976e-17 2.4530688e-18 7.2423492e-21 3.2611880e-26 5.7293924e-27
   3.8081882e-29 1.2177770e-24 9.9116498e-01 2.7839203e-29 8.8349525e-03]]]",[776.42184029 113.7468576  112.8669481   90.18860225]
25,sequential,1,9634,0,3,True,0.04953092,"[4.9530920e-02 6.6998446e-01 6.9455700e-03 5.1453087e-02 1.5870655e-06
 3.4442481e-05 6.8632668e-05 5.8168288e-02 1.6373087e-01 8.2187915e-05]","[[[0.0000000e+00 3.4243110e-29 0.0000000e+00 1.0000000e+00 0.0000000e+00
   0.0000000e+00 2.3946130e-09 1.2105085e-14 0.0000000e+00 0.0000000e+00]]]",[144.88540473 244.80053912 219.81712474 239.88005503]
26,sequential,1,6059,3,1,True,0.0033400604,"[5.5530691e-01 3.3847860e-05 1.0550412e-03 3.3400604e-03 7.4850934e-09
 3.1144009e-05 2.2487397e-06 7.4801421e-05 4.3759653e-03 4.3577996e-01]","[[[2.71609124e-25 9.99889374e-01 3.14459658e-18 2.78240506e-22
   1.73068613e-25 1.10645364e-04 8.34695797e-18 5.03508469e-26
   5.60489144e-24 4.19730390e-19]]]",[608.40692288  17.55510545  81.30601106 126.00205908]
27,sequential,1,9768,2,7,True,0.023158668,"[9.6760398e-01 1.0580884e-06 2.3158668e-02 3.1423251e-04 1.0523704e-06
 1.4376479e-03 1.4421284e-04 1.3017294e-04 6.2395381e-03 9.6939068e-04]","[[[0.0000000e+00 1.7773030e-15 1.6710087e-10 1.6032767e-25 3.0664545e-01
   7.7140821e-27 1.3975481e-27 6.9335455e-01 5.0699263e-30 0.0000000e+00]]]",[463.78076656 125.89747381  68.1269847  134.53571478]
28,sequential,1,1984,2,2,False,-0.992933,"[9.9110126e-01 2.5196633e-07 7.0670359e-03 1.4713846e-06 1.7774031e-06
 7.6659384e-10 1.2398995e-03 5.5490009e-04 3.0590185e-05 2.8691672e-06]","[[[0.0000000e+00 0.0000000e+00 1.0000000e+00 3.4570538e-09 0.0000000e+00
   0.0000000e+00 6.2034848e-23 3.4077284e-33 2.1248551e-31 0.0000000e+00]]]",[ 95.04562235  28.01947222 115.65268099 207.3922651 ]
29,sequential,1,939,2,5,True,0.30224958,"[6.8734634e-01 2.5551759e-07 3.0224958e-01 7.0893811e-04 4.9006160e-10
 8.9524292e-06 1.1791135e-05 8.7233409e-03 7.7692981e-05 8.7314215e-04]","[[[0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
   9.9179184e-01 6.8217649e-37 0.0000000e+00 1.8938905e-19 8.2081323e-03]]]",[751.07935901  23.53570828 140.50914164 161.76258593]
30,sequential,1,1984,2,3,True,0.007067036,"[9.9110126e-01 2.5196633e-07 7.0670359e-03 1.4713846e-06 1.7774031e-06
 7.6659384e-10 1.2398995e-03 5.5490009e-04 3.0590185e-05 2.8691672e-06]","[[[0.0000000e+00 3.8425997e-38 9.5385555e-27 1.0000000e+00 0.0000000e+00
   1.4872732e-18 4.0528421e-29 3.7082216e-34 3.4022136e-30 0.0000000e+00]]]",[675.04406334  99.69956754  95.06413915 179.72135498]
31,sequential,1,2118,6,7,True,0.1318114,"[6.6023940e-01 3.3788968e-02 1.1327909e-03 1.3033885e-02 8.5665293e-02
 2.9702456e-04 1.3181140e-01 5.2982114e-02 2.0649057e-02 4.0005438e-04]","[[[0.0000000e+00 2.1390847e-11 3.5546458e-26 0.0000000e+00 0.0000000e+00
   3.1861884e-29 0.0000000e+00 1.0000000e+00 0.0000000e+00 0.0000000e+00]]]",[270.70938371 151.95569661 181.77593301  22.39040732]
32,sequential,1,2073,5,5,False,-0.7807356,"[7.0036775e-01 9.3503459e-06 6.9682960e-06 8.3299754e-03 7.6298129e-06
 2.1916100e-01 7.0149206e-02 5.7331071e-04 9.4418891e-04 4.5056228e-04]","[[[0.0000000e+00 0.0000000e+00 4.4882699e-32 1.0338724e-04 0.0000000e+00
   9.9989665e-01 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00]]]",[686.67225576  95.89723142 166.03205864 249.41767501]
33,sequential,1,9634,0,2,True,0.04953092,"[4.9530920e-02 6.6998446e-01 6.9455700e-03 5.1453087e-02 1.5870655e-06
 3.4442481e-05 6.8632668e-05 5.8168288e-02 1.6373087e-01 8.2187915e-05]","[[[1.3792922e-20 1.9575203e-22 6.0675150e-01 3.9324847e-01 8.1118250e-33
   6.7411662e-27 2.5603734e-37 7.8241335e-18 1.8839278e-24 4.1143600e-31]]]",[526.87872609  19.0736794  161.95969611 127.07253854]
34,sequential,1,2648,9,4,True,0.055251542,"[8.9378810e-01 2.1169120e-05 3.4960795e-03 9.1764319e-04 4.0542443e-07
 4.2164735e-02 3.0267931e-06 8.4251090e-04 3.5146764e-03 5.5251542e-02]","[[[1.4069519e-18 1.9170789e-23 1.0466204e-16 2.3288994e-01 7.6711005e-01
   2.7565554e-21 5.1753152e-26 8.8079855e-09 2.5150646e-08 1.0467892e-14]]]",[152.88939079 147.50283327  26.77955812 143.26502897]
35,sequential,1,2118,6,7,True,0.1318114,"[6.6023940e-01 3.3788968e-02 1.1327909e-03 1.3033885e-02 8.5665293e-02
 2.9702456e-04 1.3181140e-01 5.2982114e-02 2.0649057e-02 4.0005438e-04]","[[[0.0000000e+00 8.3785507e-38 4.0951402e-31 1.7225954e-35 0.0000000e+00
   0.0000000e+00 0.0000000e+00 1.0000000e+00 0.0000000e+00 1.7524518e-38]]]",[328.1718583  100.68668717 241.50759565 137.75465108]
36,sequential,1,1678,2,5,True,0.2803604,"[6.6391307e-01 1.5087559e-02 2.8036040e-01 5.2784664e-05 2.9439375e-06
 1.9328527e-05 9.4551309e-05 4.0342309e-02 3.1371976e-05 9.5772833e-05]","[[[0.0000000e+00 2.5516189e-25 8.8223905e-35 6.5528623e-22 3.5478839e-19
   9.9999976e-01 5.4660906e-35 0.0000000e+00 0.0000000e+00 2.5665781e-07]]]",[158.78372234 158.34200713 211.57976838  45.75217178]
37,sequential,1,9634,0,5,True,0.04953092,"[4.9530920e-02 6.6998446e-01 6.9455700e-03 5.1453087e-02 1.5870655e-06
 3.4442481e-05 6.8632668e-05 5.8168288e-02 1.6373087e-01 8.2187915e-05]","[[[0.00000000e+00 6.23186485e-12 4.91970277e-05 3.89796597e-30
   0.00000000e+00 9.99950767e-01 0.00000000e+00 1.01911436e-35
   6.12944253e-36 5.76974983e-30]]]",[690.10593643 146.14210695  90.35606322 254.54132706]
38,sequential,1,6059,3,2,True,0.0033400604,"[5.5530691e-01 3.3847860e-05 1.0550412e-03 3.3400604e-03 7.4850934e-09
 3.1144009e-05 2.2487397e-06 7.4801421e-05 4.3759653e-03 4.3577996e-01]",[[[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]]],[618.53281389  77.34522203 138.27225971  75.90105769]
39,sequential,1,2073,5,4,True,0.219161,"[7.0036775e-01 9.3503459e-06 6.9682960e-06 8.3299754e-03 7.6298129e-06
 2.1916100e-01 7.0149206e-02 5.7331071e-04 9.4418891e-04 4.5056228e-04]","[[[0.0000000e+00 9.4910270e-38 0.0000000e+00 0.0000000e+00 1.0000000e+00
   1.4714814e-28 0.0000000e+00 3.0418601e-29 0.0000000e+00 2.9414866e-29]]]",[396.86206683  72.90625298 175.25995656  72.84629424]
40,sequential,1,6011,3,5,True,0.070878044,"[5.3774792e-01 9.4990173e-05 7.2037306e-05 7.0878044e-02 7.0260153e-10
 2.4874981e-03 3.6735010e-08 7.4672103e-06 2.3522135e-04 3.8847688e-01]",[[[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]]],[304.11276302  14.71872532 132.51432589 206.05781517]
41,sequential,1,4163,9,7,True,0.10313544,"[6.63393795e-01 7.71643172e-05 5.09581878e-04 2.21601920e-03
 5.77150822e-05 9.11989808e-02 1.01243526e-01 3.16323973e-02
 6.53532147e-03 1.03135437e-01]",[[[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]]],[344.74737607 217.57171594 245.7504959  208.41438423]
42,sequential,1,1984,2,7,True,0.007067036,"[9.9110126e-01 2.5196633e-07 7.0670359e-03 1.4713846e-06 1.7774031e-06
 7.6659384e-10 1.2398995e-03 5.5490009e-04 3.0590185e-05 2.8691672e-06]","[[[0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 5.9900263e-31
   3.9445136e-38 2.1772419e-34 1.0000000e+00 3.0204650e-24 0.0000000e+00]]]",[133.91007939 167.8959349  187.79504245  26.72370727]
43,sequential,1,4163,9,3,True,0.10313544,"[6.63393795e-01 7.71643172e-05 5.09581878e-04 2.21601920e-03
 5.77150822e-05 9.11989808e-02 1.01243526e-01 3.16323973e-02
 6.53532147e-03 1.03135437e-01]","[[[0.0000000e+00 1.0018042e-26 2.6907995e-21 1.0000000e+00 5.8051251e-34
   2.7140945e-16 4.4891640e-31 0.0000000e+00 1.4803436e-35 4.5364900e-30]]]",[507.95117427 114.60611658  19.09668639  57.85701463]
44,sequential,1,2073,5,1,True,0.219161,"[7.0036775e-01 9.3503459e-06 6.9682960e-06 8.3299754e-03 7.6298129e-06
 2.1916100e-01 7.0149206e-02 5.7331071e-04 9.4418891e-04 4.5056228e-04]","[[[0.0000000e+00 9.9999952e-01 4.6977071e-08 6.2968790e-28 6.0080242e-34
   1.0169853e-09 2.8005789e-31 4.5995512e-07 1.7837359e-34 1.6336533e-20]]]",[644.96920116 141.10229137 251.53654922  98.99010197]
45,sequential,1,6011,3,1,True,0.07076281,"[5.3774792e-01 9.4990173e-05 7.2037306e-05 7.0878044e-02 7.0260153e-10
 2.4874981e-03 3.6735010e-08 7.4672103e-06 2.3522135e-04 3.8847688e-01]","[[[1.21441168e-15 9.97283936e-01 2.60084844e-03 1.15229006e-04
   4.14698861e-15 1.23998865e-17 1.57107847e-13 5.69220498e-15
   1.45080253e-10 4.39263251e-27]]]",[581.335792    52.40500277 127.12475727 132.60440869]
46,sequential,1,2293,9,1,True,0.009634299,"[6.0114592e-01 1.6747143e-09 3.0664592e-06 5.0782858e-09 5.5115446e-03
 1.6402956e-07 3.8368413e-01 3.3271610e-07 2.0513457e-05 9.6342992e-03]","[[[0.0000000e+00 1.0000000e+00 8.4126485e-18 4.2176850e-28 6.1936839e-34
   0.0000000e+00 4.6146947e-33 0.0000000e+00 0.0000000e+00 0.0000000e+00]]]",[364.19160553 191.38400445 248.37614906  12.81831231]
47,sequential,1,2098,2,2,False,-0.8116554,"[8.1158644e-01 4.1969241e-07 1.8834460e-01 1.7998369e-05 2.1211379e-06
 2.1483084e-09 1.0839205e-05 7.8758221e-06 2.5316258e-05 4.3309938e-06]","[[[0.0000000e+00 1.3524853e-13 1.0000000e+00 1.4085806e-23 3.6201052e-22
   0.0000000e+00 0.0000000e+00 1.4259453e-16 0.0000000e+00 0.0000000e+00]]]",[527.22743167 174.89968522 148.97152229 229.6480965 ]
48,sequential,1,2118,6,1,True,0.13180462,"[6.6023940e-01 3.3788968e-02 1.1327909e-03 1.3033885e-02 8.5665293e-02
 2.9702456e-04 1.3181140e-01 5.2982114e-02 2.0649057e-02 4.0005438e-04]","[[[1.4405055e-36 9.9997640e-01 6.2545157e-13 0.0000000e+00 2.4528308e-15
   1.6764723e-05 6.7832570e-06 6.2232441e-09 2.8587285e-21 1.4684546e-25]]]",[518.89100266 104.05656018  47.57020056 211.84707885]
49,sequential,1,9768,2,1,True,0.023158668,"[9.6760398e-01 1.0580884e-06 2.3158668e-02 3.1423251e-04 1.0523704e-06
 1.4376479e-03 1.4421284e-04 1.3017294e-04 6.2395381e-03 9.6939068e-04]","[[[0.0000000e+00 9.9999976e-01 1.5946920e-18 1.9357444e-07 1.0765736e-23
   0.0000000e+00 0.0000000e+00 1.8355573e-17 0.0000000e+00 0.0000000e+00]]]",[450.78955894  91.93093433 133.28117189 120.11066325]
50,sequential,1,9779,2,7,True,0.2903405,"[7.0687544e-01 1.2369797e-07 2.9034051e-01 5.2814703e-06 1.8688455e-05
 5.5373908e-07 2.3442075e-05 1.0500769e-04 2.5806271e-03 5.0368060e-05]","[[[0.0000000e+00 1.6139112e-30 7.7497103e-33 1.8652902e-23 0.0000000e+00
   2.8616210e-29 0.0000000e+00 1.0000000e+00 0.0000000e+00 0.0000000e+00]]]",[309.93570239  63.05286871 254.35504119 198.44474979]
51,sequential,1,9768,2,5,True,0.023158668,"[9.6760398e-01 1.0580884e-06 2.3158668e-02 3.1423251e-04 1.0523704e-06
 1.4376479e-03 1.4421284e-04 1.3017294e-04 6.2395381e-03 9.6939068e-04]","[[[0.0000000e+00 4.1000847e-36 0.0000000e+00 0.0000000e+00 0.0000000e+00
   1.0000000e+00 0.0000000e+00 4.4903195e-35 0.0000000e+00 0.0000000e+00]]]",[722.12999278 180.74491706  93.06591317 157.00372151]
52,sequential,1,2073,5,7,True,0.219161,"[7.0036775e-01 9.3503459e-06 6.9682960e-06 8.3299754e-03 7.6298129e-06
 2.1916100e-01 7.0149206e-02 5.7331071e-04 9.4418891e-04 4.5056228e-04]","[[[1.1775345e-35 7.6542890e-24 1.5620017e-16 2.5040987e-11 7.7942828e-15
   2.3946507e-23 4.3856010e-19 1.0000000e+00 0.0000000e+00 0.0000000e+00]]]",[467.42635466 161.83345227  52.51010415 236.06814821]
53,sequential,1,3558,5,9,True,6.9613714e-05,"[9.9979585e-01 3.0585111e-06 4.1192401e-05 6.7246387e-05 3.2782879e-10
 6.9613714e-05 1.0893197e-05 4.8536349e-06 3.1849588e-06 4.1351550e-06]","[[[4.2706886e-14 3.9231354e-20 4.7906683e-14 1.7005542e-19 0.0000000e+00
   3.6325699e-14 5.0579797e-24 1.7275573e-20 5.8405437e-15 1.0000000e+00]]]",[504.72631456  17.38874492 151.28585131  61.21864958]
54,sequential,1,9634,0,5,True,0.04953092,"[4.9530920e-02 6.6998446e-01 6.9455700e-03 5.1453087e-02 1.5870655e-06
 3.4442481e-05 6.8632668e-05 5.8168288e-02 1.6373087e-01 8.2187915e-05]","[[[0.0000000e+00 1.3276611e-33 5.6911008e-21 6.8778977e-02 0.0000000e+00
   9.3122095e-01 0.0000000e+00 9.5677879e-33 0.0000000e+00 0.0000000e+00]]]",[686.30453915  94.97411598 101.9504795  150.18922954]
55,sequential,1,6011,3,7,True,0.070878044,"[5.3774792e-01 9.4990173e-05 7.2037306e-05 7.0878044e-02 7.0260153e-10
 2.4874981e-03 3.6735010e-08 7.4672103e-06 2.3522135e-04 3.8847688e-01]","[[[0.0000000e+00 0.0000000e+00 1.3067299e-24 0.0000000e+00 0.0000000e+00
   0.0000000e+00 0.0000000e+00 1.0000000e+00 0.0000000e+00 0.0000000e+00]]]",[198.29379227  45.18389628 246.92856818  82.05690239]
56,sequential,1,2293,9,6,True,0.009634299,"[6.0114592e-01 1.6747143e-09 3.0664592e-06 5.0782858e-09 5.5115446e-03
 1.6402956e-07 3.8368413e-01 3.3271610e-07 2.0513457e-05 9.6342992e-03]","[[[0.000000e+00 0.000000e+00 5.070452e-12 0.000000e+00 0.000000e+00
   0.000000e+00 1.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00]]]",[ 67.02785036  57.81020928 181.9137083   75.02839051]
57,sequential,1,9779,2,4,True,0.2903405,"[7.0687544e-01 1.2369797e-07 2.9034051e-01 5.2814703e-06 1.8688455e-05
 5.5373908e-07 2.3442075e-05 1.0500769e-04 2.5806271e-03 5.0368060e-05]","[[[0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.0000000e+00
   1.3814106e-37 0.0000000e+00 1.4619856e-29 0.0000000e+00 0.0000000e+00]]]",[375.41886066 124.47608691 207.89552231  27.32003972]
58,sequential,1,939,2,7,True,0.30224958,"[6.8734634e-01 2.5551759e-07 3.0224958e-01 7.0893811e-04 4.9006160e-10
 8.9524292e-06 1.1791135e-05 8.7233409e-03 7.7692981e-05 8.7314215e-04]","[[[6.04365015e-21 4.53151897e-33 1.10228141e-14 2.98576816e-37
   1.01838623e-22 9.00222388e-30 4.69805891e-23 1.00000000e+00
   4.75485251e-08 4.91768932e-14]]]",[315.13075285   6.7782905  121.55610585 167.2446885 ]
